Player,Team,Position,GamesPlayed,Points,Goals,Assists,Pts_Per_Game,Shooting_Pct,PlusMinus,PIM,GWG,PPG,SHG,Goal_Contribution_Pct,Assists_Per_Game,Shots_Per_Game,Last_Update
Jared Spurgeon,MIN,D,42,11,3,8,0.26,6.2,4,8,1,2,0,27.3,0.19,1.14,2026-01-03 03:36:03
Emil Andrae,PHI,D,28,10,1,9,0.36,4.2,11,10,0,0,0,10.0,0.32,0.86,2026-01-03 03:36:03
Adam Henrique,EDM,C,41,10,2,8,0.24,3.2,-9,12,0,0,0,20.0,0.2,1.51,2026-01-03 03:36:03
Jake Evans,MTL,C,34,10,5,5,0.29,14.7,-13,18,0,0,1,50.0,0.15,1.0,2026-01-03 03:36:03
Kaedan Korczak,VGK,D,39,10,3,7,0.26,9.1,8,16,0,0,0,30.0,0.18,0.85,2026-01-03 03:36:03
Dakota Joshua,TOR,C,36,10,6,4,0.28,18.8,-2,25,2,0,0,60.0,0.11,0.89,2026-01-03 03:36:03
Paul Cotter,NJD,L,40,10,5,5,0.25,13.2,-9,13,1,0,0,50.0,0.12,0.95,2026-01-03 03:36:03
Jake Walman,EDM,D,17,10,3,7,0.59,13.0,-3,8,1,1,1,30.0,0.41,1.35,2026-01-03 03:36:03
Sean Durzi,UTA,D,20,10,1,9,0.5,2.7,-11,22,0,0,0,10.0,0.45,1.85,2026-01-03 03:36:03
Mathieu Joseph,STL,R,34,10,2,8,0.29,7.1,0,4,1,0,1,20.0,0.24,0.82,2026-01-03 03:36:03
Reilly Smith,VGK,R,36,10,5,5,0.28,13.5,-10,2,1,1,0,50.0,0.14,1.03,2026-01-03 03:36:03
Nick Cousins,OTT,C,38,10,6,4,0.26,20.0,1,37,1,0,0,60.0,0.11,0.79,2026-01-03 03:36:03
