Player,Team,Position,GamesPlayed,Points,Goals,Assists,Pts_Per_Game,Shooting_Pct,PlusMinus,PIM,GWG,PPG,SHG,Goal_Contribution_Pct,Assists_Per_Game,Shots_Per_Game,Last_Update
Nathan MacKinnon,COL,C,39,70,34,36,1.79,18.9,51,14,5,7,0,48.6,0.92,4.62,2026-01-03 03:36:03
Connor McDavid,EDM,C,41,70,24,46,1.71,16.6,1,16,1,7,1,34.3,1.12,3.54,2026-01-03 03:36:03
Macklin Celebrini,SJS,C,40,62,22,40,1.55,17.5,13,28,4,4,0,35.5,1.0,3.15,2026-01-03 03:36:03
Leon Draisaitl,EDM,C,41,57,20,37,1.39,17.2,6,20,2,11,1,35.1,0.9,2.83,2026-01-03 03:36:03
Mikko Rantanen,DAL,R,40,56,16,40,1.4,16.2,3,71,1,4,0,28.6,1.0,2.48,2026-01-03 03:36:03
Nikita Kucherov,TBL,R,36,54,19,35,1.5,17.3,16,18,4,4,0,35.2,0.97,3.06,2026-01-03 03:36:03
Martin Necas,COL,C,39,51,19,32,1.31,20.7,40,22,0,3,0,37.3,0.82,2.36,2026-01-03 03:36:03
Kirill Kaprizov,MIN,L,42,48,24,24,1.14,16.2,5,14,2,9,0,50.0,0.57,3.52,2026-01-03 03:36:03
Jason Robertson,DAL,L,41,48,24,24,1.17,15.1,15,10,3,9,0,50.0,0.59,3.88,2026-01-03 03:36:03
Mark Scheifele,WPG,C,39,48,20,28,1.23,23.0,7,22,2,5,0,41.7,0.72,2.23,2026-01-03 03:36:03
Matt Boldy,MIN,L,42,47,25,22,1.12,18.2,16,20,3,6,2,53.2,0.52,3.26,2026-01-03 03:36:03
Wyatt Johnston,DAL,C,41,46,20,26,1.12,20.0,-1,10,3,14,0,43.5,0.63,2.44,2026-01-03 03:36:03
Kyle Connor,WPG,L,39,46,18,28,1.18,13.1,5,8,1,2,2,39.1,0.72,3.51,2026-01-03 03:36:03
Brad Marchand,FLA,L,39,46,23,23,1.18,20.9,-8,32,2,5,0,50.0,0.59,2.82,2026-01-03 03:36:03
Cale Makar,COL,D,39,45,12,33,1.15,10.6,34,18,3,2,0,26.7,0.85,2.9,2026-01-03 03:36:03
Nick Suzuki,MTL,C,40,45,14,31,1.12,16.3,16,8,1,8,0,31.1,0.78,2.15,2026-01-03 03:36:03
David Pastrnak,BOS,R,36,44,17,27,1.22,13.7,-11,30,2,8,0,38.6,0.75,3.44,2026-01-03 03:36:03
Sam Reinhart,FLA,C,40,44,23,21,1.1,21.5,-7,4,5,8,3,52.3,0.52,2.68,2026-01-03 03:36:03
Connor Bedard,CHI,C,31,44,19,25,1.42,18.4,8,30,3,5,0,43.2,0.81,3.32,2026-01-03 03:36:03
Lucas Raymond,DET,L,40,44,11,33,1.1,12.5,3,10,3,4,0,25.0,0.82,2.2,2026-01-03 03:36:03
Artemi Panarin,NYR,L,42,44,16,28,1.05,12.3,-4,14,3,1,0,36.4,0.67,3.1,2026-01-03 03:36:03
Sidney Crosby,PIT,C,39,43,23,20,1.1,24.2,-3,30,2,9,0,53.5,0.51,2.44,2026-01-03 03:36:03
Tom Wilson,WSH,R,40,42,22,20,1.05,22.7,20,59,2,7,0,52.4,0.5,2.42,2026-01-03 03:36:03
Leo Carlsson,ANA,C,40,42,17,25,1.05,17.3,4,25,3,3,2,40.5,0.62,2.45,2026-01-03 03:36:03
Tim Stützle,OTT,C,39,42,19,23,1.08,19.2,3,22,3,6,1,45.2,0.59,2.54,2026-01-03 03:36:03
Jack Eichel,VGK,C,32,41,12,29,1.28,10.0,4,2,3,0,0,29.3,0.91,3.75,2026-01-03 03:36:03
Alex DeBrincat,DET,R,42,41,21,20,0.98,14.4,1,10,4,10,0,51.2,0.48,3.48,2026-01-03 03:36:03
William Nylander,TOR,R,33,41,14,27,1.24,20.6,-1,12,2,3,0,34.1,0.82,2.06,2026-01-03 03:36:03
Jake Guentzel,TBL,C,40,41,18,23,1.02,17.1,9,15,3,4,2,43.9,0.57,2.62,2026-01-03 03:36:03
Morgan Geekie,BOS,C,41,41,25,16,1.0,25.5,-5,14,4,7,0,61.0,0.39,2.39,2026-01-03 03:36:03
Mitch Marner,VGK,R,39,40,9,31,1.03,12.0,8,12,0,2,0,22.5,0.79,1.92,2026-01-03 03:36:03
Sebastian Aho,CAR,C,40,40,16,24,1.0,17.6,2,16,2,4,0,40.0,0.6,2.28,2026-01-03 03:36:03
Lane Hutson,MTL,D,40,40,6,34,1.0,8.8,12,8,1,1,0,15.0,0.85,1.7,2026-01-03 03:36:03
Cole Caufield,MTL,R,40,40,20,20,1.0,17.7,10,8,5,4,0,50.0,0.5,2.82,2026-01-03 03:36:03
Zach Werenski,CBJ,D,35,40,14,26,1.14,10.6,6,6,0,1,0,35.0,0.74,3.77,2026-01-03 03:36:03
